,customer_id,first_name,last_name,email,phone_number,ssn,address,state,dob,Unnamed: 9,marital_status,Occupation,Level of Seniority,company,credit_card_number,credit_card_expiry,credit_card_security_code,annual_income,12 month purchace history,loyalty_points,last_login_ip,subscription_status,newsletter_opt_in,travel_freq_per_month,email_domain,age,Large_state_specific_grants,ip_derived_state,spend_to_income_ratio
224,7931,Paula,Williams,Paula.Williams@gmail.com,045-895-4113,243-63-5844,3472 Mcintosh Orchard Apt. 117,Maine,2001-09-28,23,Single,Sales Executive,Low Managerial,Navarro-Lawson,566251192993,2025-07-30,913,167153.6,75707,1475,193.113.177.227,Active,True,13,gmail.com,23,Not Eligible,Maine,45.29187525724842
347,5173,Carl,Austin,Carl.Austin@nguyen.com,001-364-375-5444x9263,878-70-5975,77829 Chelsea Parkway Apt. 159,New Mexico,1973-10-03,51,Married,Pediatrician,Executive,"Bruce, Collins and Owens",4147411794783260,2026-09-22,822,274158.4,67951,4880,203.198.93.41,Active,True,5,nguyen.com,51,Not Eligible,New Mexico,24.785306596478527
625,2620,Mark,Davis,Mark.Davis@gmail.com,(651)062-4029,722-65-2813,21137 Trevino Flats,Georgia,1992-12-14,32,Single,Supply Chain Manager,Mid Managerial,Hunt-Stewart,3581709239860870,2026-12-25,380,170392.8,46436,251,188.158.220.61,Active,True,13,gmail.com,32,Not Eligible,Georgia,27.25232521561944
674,1815,Eric,Davis,Eric.Davis@williams-burton.biz,(365)634-3934x662,455-39-5032,740 Gonzalez Station,Indiana,1965-04-27,59,Divorced,Chief Executive Officer,Executive,Jordan LLC,30397136951419,2027-05-27,104,70690.4,50817,2159,134.171.57.199,Active,True,24,williams-burton.biz,59,Not Eligible,Indiana,71.88670597421999
982,1815,Eric,Holmes,Eric.Holmes@williams-burton.biz,(365)634-3934x662,455-39-5032,416 Rebekah Junction Suite 972,Minnesota,1965-04-27,59,Divorced,Chief Executive Officer,Executive,Jordan LLC,30397136951419,2026-09-02,104,70690.4,50817,2159,134.171.57.199,Active,True,22,williams-burton.biz,59,Not Eligible,Minnesota,71.88670597421999
994,7931,Paula,Williams,Paula.Williams@gmail.com,045-895-4113,243-63-5844,454 Jones Prairie,Maine,2001-09-28,23,Single,Sales Executive,Low Managerial,Navarro-Lawson,566251192993,2027-06-09,913,167153.6,75707,1475,193.113.177.227,Active,True,11,gmail.com,23,Not Eligible,Maine,45.29187525724842
29,8744,Matthew,Rivera,Matthew.Rivera@turner.org,708-672-3512x0034,761-43-6702,10218 Burns Mews Apt. 263,Missouri,1947-06-21,77,Divorced,Medical Laboratory Technologist,Individual Contributor,Thompson and Sons,563556581061,2026-07-08,980,67458.6,66646,5530,25.137.128.172,Active,True,12,turner.org,77,Not Eligible,Missouri,98.79540933253877
56,5902,Robert,Roberts,Robert.Roberts@andrews-rocha.org,146-222-9244x564,863-81-0428,373 Brian Grove,Indiana,1951-08-19,73,Single,Radiologist,Mid Managerial,"Harding, Ferguson and Craig",4587884914303620,2025-06-27,143,145647.6,75914,149,122.139.23.133,Active,False,25,andrews-rocha.org,73,Not Eligible,Indiana,52.12169647834911
67,2858,Joseph,Suarez,Joseph.Suarez@garrett.com,378.508.2400,765-05-9614,69060 Thomas Walk,Maryland,1976-06-22,48,Single,Chief Marketing Officer,Executive,Kelley and Sons,3538500908856380,2025-12-31,979,252584.0,98549,5262,60.55.210.47,Active,False,25,garrett.com,48,Not Eligible,Maryland,39.016327241630506
69,3425,Tammy,Fuller,Tammy.Fuller@simpson-johnson.com,558.365.7424x729,835-40-6345,33301 Humphrey Key Apt. 548,Michigan,1955-11-17,69,Single,Principal Scientist,Executive,"David, Wade and Sanders",30137699300103,2026-08-15,516,153547.6,85477,2314,125.67.162.149,Active,True,12,simpson-johnson.com,69,Not Eligible,Georgia,55.668079475029245
