,customer_id,first_name,last_name,email,phone_number,ssn,address,state,dob,Unnamed: 9,marital_status,Occupation,Level of Seniority,company,credit_card_number,credit_card_expiry,credit_card_security_code,annual_income,12 month purchace history,loyalty_points,last_login_ip,subscription_status,newsletter_opt_in,travel_freq_per_month,email_domain,age,Large_state_specific_grants,ip_derived_state
39,8355,Paul,Ayala,Paul.Ayala@gmail.com,590-730-8382x69208,878-70-5975,06454 Lisa Village,Wyoming,1994-02-05,30,Divorced,Civil Engineer,Individual Contributor,"Brewer, Stewart and Hunter",4913899777593,2027-04-02,938,353575.6,14843,4104,201.202.102.166,Inactive,True,1,gmail.com,30,Not Eligible,Wyoming
45,4855,Stephanie,Armstrong,Stephanie.Armstrong@gmail.com,+1-451-683-2791x1754,606-79-5880,595 Garcia Ridges,Kansas,1938-11-01,86,Married,"Doctor, General Practitioner",Executive,Nguyen Ltd,4360542291566510,2027-02-04,666,394415.6,9972,8573,100.47.201.202,Inactive,True,0,gmail.com,86,Not Eligible,Kansas
52,7890,Alexis,Morales,Alexis.Morales@hotmail.com,(342)899-6132x38540,123-45-6789,9149 Sarah Trace,Indiana,1947-03-31,77,Single,Marketing Manager,Mid Managerial,Hall Ltd,4693212314917120,2024-08-31,875,137365.6,14350,6498,150.50.168.92,Inactive,True,2,hotmail.com,77,Not Eligible,Missouri
58,9105,Samuel,Clark,Samuel.Clark@pope.com,001-732-606-5982x351,220-71-2145,19526 Garcia Freeway Suite 064,Kansas,1952-01-10,72,Divorced,Senior Software Developer,Mid Managerial,"Miller, Brooks and Calhoun",30203398819395,2027-02-19,931,237862.0,77256,5627,211.107.52.228,Inactive,False,14,pope.com,72,Not Eligible,Kansas
81,5440,Michael,Cobb,Michael.Cobb@anderson.info,1-335-780-46,598-96-3090,4812 Medina Cliffs,Vermont,1958-10-05,66,Single,Chief Marketing Officer,Executive,"Cline, Barron and Tran",3500921732895830,2024-12-11,271,343898.4,98106,4926,166.251.46.66,Pending,False,0,anderson.info,66,Not Eligible,Vermont
90,6686,Shawn,Johnson,Shawn.Johnson@yahoo.com,595-631-2528,588-27-2903,8592 Christie Village,New Hampshire,1948-04-17,76,Married,Psychiatrist,Executive,"Dougherty, Allen and Davila",4077739578830680,2025-05-06,200,223241.6,27564,2004,206.134.60.231,Pending,True,22,yahoo.com,76,Not Eligible,New Hampshire
98,2620,Mark,Wagner,Mark.Wagner@gmail.com,(651)062-4029,722-65-2813,963 John Alley Suite 759,Georgia,1992-12-14,32,Single,Supply Chain Manager,Mid Managerial,Hunt-Stewart,3581709239860870,2027-05-29,380,170392.8,46436,251,188.158.220.61,Active,True,0,gmail.com,32,Not Eligible,Georgia
106,1816,Cathy,Wang,Cathy.Wang@brock-james.com,001-634-361-2165x10026,597-02-5243,0502 Jessica Tunnel Apt. 707,Oklahoma,1996-06-26,28,Single,Principal Scientist,Executive,Andrews Ltd,30297298628898,2025-04-04,666,280795.6,40075,9412,140.135.137.255,Active,False,4,brock-james.com,28,Not Eligible,Oklahoma
115,8290,Alyssa,Burton,Alyssa.Burton@fritz-robbins.com,001-797-602-5894x130,143-21-3211,913 Miller Locks,Wyoming,2003-11-24,21,Single,UX/UI Designer,Individual Contributor,"Tate, Hampton and Smith",377658272053257,2024-11-03,535,83484.4,7897,3708,80.194.44.161,Active,True,0,fritz-robbins.com,21,Not Eligible,Wyoming
134,2208,Kathleen,Rose,Kathleen.Rose@cooper-martin.com,319-198-4176x538,099-71-6067,308 Heather Locks,Connecticut,1951-11-02,73,Married,Chief Financial Officer,Executive,Hodges Ltd,589920206879,2024-09-20,979,364431.2,96295,907,112.129.245.141,Inactive,False,5,cooper-martin.com,73,Not Eligible,Connecticut
